EnsemblID GeneName
ENSMMUG00000023296 NA
ENSMMUG00000036181 U6
ENSMMUG00000000634 ZNF692
ENSMMUG00000037875 ZNF672
ENSMMUG00000000632 SH3BP5L
ENSMMUG00000064799 NA
ENSMMUG00000057389 LYPD8
ENSMMUG00000031200 NA
ENSMMUG00000052613 NA
ENSMMUG00000031199 OR2T27
ENSMMUG00000053841 NA
ENSMMUG00000017095 NA
ENSMMUG00000025700 Y_RNA
ENSMMUG00000049101 OR2T10
ENSMMUG00000048289 NA
ENSMMUG00000017368 NA
ENSMMUG00000055842 OR14I1
ENSMMUG00000031198 NA
ENSMMUG00000062331 OR9G1
ENSMMUG00000049901 NA
ENSMMUG00000064657 NA
ENSMMUG00000005566 OR2T1
ENSMMUG00000064874 OR2T6
ENSMMUG00000039595 NA
ENSMMUG00000038524 OR2M4
ENSMMUG00000049432 NA
ENSMMUG00000050812 NA
ENSMMUG00000059065 NA
ENSMMUG00000064763 NA
ENSMMUG00000053957 NA
ENSMMUG00000062908 Y_RNA
ENSMMUG00000057748 OR2L2
ENSMMUG00000051218 Y_RNA
ENSMMUG00000050041 OR2L5
ENSMMUG00000052261 NA
ENSMMUG00000054556 Y_RNA
ENSMMUG00000060886 NA
ENSMMUG00000062168 NA
ENSMMUG00000059751 Y_RNA
ENSMMUG00000018891 NA
ENSMMUG00000056262 NA
ENSMMUG00000038159 OR2W3
ENSMMUG00000005570 TRIM58
ENSMMUG00000006214 OR11L1
ENSMMUG00000056211 NA
ENSMMUG00000049478 OR9H1P
ENSMMUG00000062849 OR1C1
ENSMMUG00000064145 OR14K1
ENSMMUG00000059455 OR14A2
ENSMMUG00000016175 OR6F1
ENSMMUG00000016176 OR13G1
ENSMMUG00000058340 NA
ENSMMUG00000005955 GCSAML
ENSMMUG00000012954 NA
ENSMMUG00000060427 NA
ENSMMUG00000005949 OR2B11
ENSMMUG00000005946 NLRP3
ENSMMUG00000052686 NA
ENSMMUG00000019585 ZNF496
ENSMMUG00000064912 Y_RNA
ENSMMUG00000021266 NA
ENSMMUG00000058602 NA
ENSMMUG00000059322 NA
ENSMMUG00000004566 ZNF124
ENSMMUG00000058214 NA
ENSMMUG00000023311 NA
ENSMMUG00000050290 ZNF670
ENSMMUG00000054567 NA
ENSMMUG00000031191 NA
ENSMMUG00000061999 Metazoa_SRP
ENSMMUG00000016408 AHCTF1
ENSMMUG00000049281 NA
ENSMMUG00000053269 NA
ENSMMUG00000022208 SCCPDH
ENSMMUG00000056452 NA
ENSMMUG00000060928 NA
ENSMMUG00000011380 CNST
ENSMMUG00000059690 NA
ENSMMUG00000055490 TFB2M
ENSMMUG00000055003 NA
ENSMMUG00000005777 SMYD3
ENSMMUG00000024556 U6
ENSMMUG00000017324 KIF26B
ENSMMUG00000050220 NA
ENSMMUG00000052401 Metazoa_SRP
ENSMMUG00000059892 Metazoa_SRP
ENSMMUG00000027317 U1
ENSMMUG00000011424 EFCAB2
ENSMMUG00000057396 Metazoa_SRP
ENSMMUG00000036930 U6
ENSMMUG00000060683 mml-mir-7180
